PRECINCT,D_votes,R_votes
COLUMBUS 85-D,374,255
COLUMBUS 85-E,219,45
COLUMBUS 86-A,487,138
COLUMBUS 86-B,527,230
COLUMBUS 86-C,296,92
COLUMBUS 86-D,434,133
COLUMBUS 86-E,442,217
COLUMBUS 86-F,289,159
COLUMBUS 86-G,312,218
COLUMBUS 86-H,336,142
COLUMBUS 86-I,255,178
COLUMBUS 86-J,227,103
COLUMBUS 87-A,231,185
COLUMBUS 87-B,201,182
COLUMBUS 87-C,299,159
COLUMBUS 87-D,363,288
COLUMBUS 87-E,165,136
DUBLIN 01-A,620,515
DUBLIN 01-B,201,246
DUBLIN 01-C,426,417
DUBLIN 01-D,293,335
DUBLIN 01-E,347,511
DUBLIN 01-F,509,366
DUBLIN 01-G,363,369
DUBLIN 01-H,239,266
DUBLIN 02-A,285,286
DUBLIN 02-B,208,138
DUBLIN 02-C,244,180
DUBLIN 02-D,344,323
DUBLIN 02-E,326,319
DUBLIN 02-F,246,242
DUBLIN 02-G,327,352
DUBLIN 02-H,221,174
DUBLIN 02-I,254,332
DUBLIN 02-J,372,474
DUBLIN 03-A,456,594
DUBLIN 03-B,503,527
DUBLIN 03-C,379,480
DUBLIN 04-A,389,373
DUBLIN 04-B,254,253
DUBLIN 04-C,304,213
DUBLIN 04-D,408,377
DUBLIN 04-E,293,310
DUBLIN 04-F,495,439
FRANKLIN-A,155,289
FRANKLIN-B,133,162
FRANKLIN-C,217,203
FRANKLIN-D,116,210
FRANKLIN-E,147,190
FRANKLIN-F,211,15
GAHANNA 01-A,313,259
GAHANNA 01-B,208,221
GAHANNA 01-C,440,285
GAHANNA 01-D,186,154
GAHANNA 01-E,417,286
GAHANNA 01-F,329,154
GAHANNA 01-G,313,272
GAHANNA 02-A,333,270
GAHANNA 02-B,373,208
GAHANNA 02-C,262,160
GAHANNA 02-D,267,212
GAHANNA 02-E,278,245
GAHANNA 02-F,162,159
GAHANNA 02-G,186,165
GAHANNA 02-H,381,234
GAHANNA 02-I,365,197
GAHANNA 03-A,299,205
GAHANNA 03-B,246,252
GAHANNA 03-C,369,305
GAHANNA 03-D,518,374
GAHANNA 03-E,334,332
GAHANNA 03-F,350,208
GAHANNA 03-G,376,265
GAHANNA 04-A,347,266
GAHANNA 04-B,548,323
GAHANNA 04-C,278,221
GAHANNA 04-D,365,342
GAHANNA 04-E,403,360
GAHANNA 04-F,300,228
GAHANNA 04-G,406,313
GRANDVIEW-A,571,272
GRANDVIEW-B,500,244
GRANDVIEW-C,515,167
GRANDVIEW-D,539,159
GRANDVIEW-E,598,202
GRANDVIEW-F,418,172
GROVE CITY 01-A,283,274
GROVE CITY 01-B,337,307
GROVE CITY 01-C,179,279
GROVE CITY 01-D,262,268
GROVE CITY 01-E,506,538
GROVE CITY 01-F,338,340
GROVE CITY 02-A,366,505
GROVE CITY 02-B,280,253
GROVE CITY 02-C,327,346
GROVE CITY 02-D,229,278
GROVE CITY 02-E,437,542
GROVE CITY 02-F,239,275
GROVE CITY 03-A,259,359
GROVE CITY 03-B,311,324
GROVE CITY 03-C,252,408
GROVE CITY 03-D,310,428
GROVE CITY 03-E,182,366
GROVE CITY 03-F,260,306
GROVE CITY 03-G,229,274
GROVE CITY 03-H,233,271
GROVE CITY 04-A,257,192
GROVE CITY 04-B,290,296
GROVE CITY 04-C,311,323
GROVE CITY 04-D,302,382
GROVE CITY 04-E,201,259
GROVE CITY 04-F,304,370
GROVE CITY 04-G,140,259
