PRECINCT,D_votes,R_votes
COLUMBUS 67-B,47,66
COLUMBUS 67-C,42,60
COLUMBUS 67-D,19,35
COLUMBUS 67-E,62,47
COLUMBUS 67-F,68,98
COLUMBUS 67-G,89,109
COLUMBUS 67-H,48,63
COLUMBUS 67-I,58,53
COLUMBUS 68-A,27,72
COLUMBUS 68-B,17,77
COLUMBUS 68-C,31,113
COLUMBUS 68-D,20,89
COLUMBUS 69-A,164,157
COLUMBUS 69-B,75,66
COLUMBUS 69-C,88,91
COLUMBUS 69-D,142,120
COLUMBUS 69-E,97,91
COLUMBUS 69-F,117,118
COLUMBUS 69-G,53,93
COLUMBUS 69-H,32,44
COLUMBUS 69-I,93,103
COLUMBUS 69-J,102,88
COLUMBUS 69-K,28,56
COLUMBUS 69-L,125,111
COLUMBUS 69-M,60,56
COLUMBUS 69-N,63,46
COLUMBUS 70-A,186,135
COLUMBUS 70-B,153,72
COLUMBUS 70-C,176,118
COLUMBUS 70-D,276,112
COLUMBUS 70-E,85,61
COLUMBUS 71-A,150,173
COLUMBUS 71-B,62,89
COLUMBUS 71-C,109,124
COLUMBUS 71-D,54,89
COLUMBUS 71-E,96,107
COLUMBUS 71-F,23,31
COLUMBUS 72-A,131,128
COLUMBUS 72-B,128,119
COLUMBUS 72-C,95,95
COLUMBUS 72-D,135,123
COLUMBUS 72-E,143,121
COLUMBUS 72-F,135,150
COLUMBUS 72-G,106,86
COLUMBUS 73-A,63,98
COLUMBUS 73-B,31,53
COLUMBUS 73-C,186,171
COLUMBUS 73-D,131,156
COLUMBUS 73-E,99,113
COLUMBUS 73-F,123,183
COLUMBUS 73-G,76,100
COLUMBUS 73-H,54,116
COLUMBUS 73-I,114,129
COLUMBUS 73-J,67,106
COLUMBUS 73-K,64,84
COLUMBUS 73-L,119,94
COLUMBUS 73-M,41,73
COLUMBUS 74-A,134,84
COLUMBUS 74-B,120,93
COLUMBUS 74-C,126,131
COLUMBUS 74-D,73,64
COLUMBUS 74-E,122,89
COLUMBUS 74-F,45,77
COLUMBUS 74-G,127,114
COLUMBUS 74-H,44,48
COLUMBUS 75-A,158,105
COLUMBUS 75-B,127,126
COLUMBUS 75-C,165,114
COLUMBUS 75-D,62,77
COLUMBUS 75-E,97,102
COLUMBUS 75-F,83,74
COLUMBUS 75-G,66,76
COLUMBUS 75-H,83,54
COLUMBUS 75-I,62,53
COLUMBUS 76-A,92,66
COLUMBUS 76-B,65,45
COLUMBUS 76-C,99,86
COLUMBUS 76-D,116,118
COLUMBUS 76-E,41,38
COLUMBUS 76-F,118,97
COLUMBUS 76-G,48,47
COLUMBUS 77-A,122,98
COLUMBUS 77-B,83,122
COLUMBUS 77-C,113,89
COLUMBUS 77-D,205,167
COLUMBUS 77-E,126,146
COLUMBUS 77-F,192,130
COLUMBUS 78-A,82,46
COLUMBUS 78-B,81,49
COLUMBUS 78-C,42,51
COLUMBUS 78-D,117,104
COLUMBUS 78-E,78,103
COLUMBUS 78-F,78,75
COLUMBUS 78-G,106,97
COLUMBUS 78-H,84,104
COLUMBUS 78-I,29,41
COLUMBUS 79-A,24,48
COLUMBUS 79-B,106,112
COLUMBUS 79-C,103,86
COLUMBUS 79-D,84,92
COLUMBUS 79-E,51,62
COLUMBUS 80-A,111,134
COLUMBUS 80-B,104,118
COLUMBUS 80-C,42,54
COLUMBUS 80-D,124,131
COLUMBUS 80-E,116,83
COLUMBUS 80-F,142,179
COLUMBUS 81-A,88,170
COLUMBUS 81-B,84,146
COLUMBUS 81-C,116,154
COLUMBUS 81-D,52,109
COLUMBUS 81-E,57,139
COLUMBUS 82-A,68,98
COLUMBUS 82-B,115,140
COLUMBUS 82-C,84,81
COLUMBUS 82-D,151,164
COLUMBUS 82-E,314,439
COLUMBUS 82-F,102,120
COLUMBUS 82-G,91,73
COLUMBUS 82-H,108,111
COLUMBUS 82-I,105,110
COLUMBUS 82-J,99,84
COLUMBUS 82-K,96,133
COLUMBUS 82-L,234,242
COLUMBUS 82-M,52,53
COLUMBUS 82-N,29,33
COLUMBUS 82-O,54,59
COLUMBUS 83-A,60,203
COLUMBUS 83-B,70,114
COLUMBUS 83-C,19,163
COLUMBUS 83-D,32,112
COLUMBUS 83-E,77,304
COLUMBUS 83-F,20,58
COLUMBUS 83-G,30,84
COLUMBUS 83-H,31,116
COLUMBUS 83-I,6,51
COLUMBUS 83-J,29,177
COLUMBUS 84-A,195,281
COLUMBUS 84-B,142,245
COLUMBUS 84-C,41,154
COLUMBUS 84-D,56,136
COLUMBUS 84-E,148,271
COLUMBUS 84-F,122,168
COLUMBUS 84-G,26,100
COLUMBUS 84-H,33,60
COLUMBUS 85-A,32,168
COLUMBUS 85-B,65,115
COLUMBUS 85-C,98,123
COLUMBUS 85-D,96,161
COLUMBUS 85-E,18,62
COLUMBUS 86-A,59,208
COLUMBUS 86-B,86,121
COLUMBUS 86-C,15,83
COLUMBUS 86-D,64,158
COLUMBUS 86-E,69,199
COLUMBUS 86-F,60,114
COLUMBUS 86-G,40,85
COLUMBUS 86-H,51,107
COLUMBUS 86-I,61,104
COLUMBUS 86-J,24,81
COLUMBUS 87-A,49,74
COLUMBUS 87-B,52,49
COLUMBUS 87-C,39,49
COLUMBUS 87-D,111,117
COLUMBUS 87-E,42,47
DELAWARE COUNTY,624,491
FAIRFIELD COUNTY,341,541
