PRECINCT,D_votes,R_votes
COLUMBUS 54-E,385,102
COLUMBUS 54-F,401,94
COLUMBUS 55-A,424,53
COLUMBUS 55-B,593,38
COLUMBUS 55-C,627,50
COLUMBUS 55-D,484,56
COLUMBUS 56-A,463,34
COLUMBUS 56-B,266,21
COLUMBUS 56-C,430,33
COLUMBUS 56-D,597,8
COLUMBUS 56-E,490,19
COLUMBUS 57-A,217,83
COLUMBUS 57-B,265,124
COLUMBUS 57-C,310,123
COLUMBUS 57-D,542,324
COLUMBUS 57-E,357,143
COLUMBUS 57-F,219,165
COLUMBUS 57-G,146,126
COLUMBUS 58-A,306,150
COLUMBUS 58-B,419,295
COLUMBUS 58-D,209,152
COLUMBUS 58-E,284,239
COLUMBUS 58-F,259,192
COLUMBUS 58-G,308,185
COLUMBUS 58-I,164,170
COLUMBUS 58-J,292,184
COLUMBUS 58-K,180,109
COLUMBUS 61-A,308,107
COLUMBUS 61-B,529,82
COLUMBUS 61-C,453,90
COLUMBUS 61-D,453,205
COLUMBUS 62-A,374,199
COLUMBUS 62-B,601,145
COLUMBUS 62-C,547,186
COLUMBUS 62-D,546,187
COLUMBUS 62-E,331,178
COLUMBUS 66-A,434,112
COLUMBUS 66-B,342,76
COLUMBUS 66-C,555,225
COLUMBUS 66-D,383,165
COLUMBUS 66-E,351,159
COLUMBUS 66-F,504,225
COLUMBUS 67-A,254,263
COLUMBUS 67-B,236,185
COLUMBUS 67-C,295,151
COLUMBUS 67-D,162,67
COLUMBUS 67-E,226,136
COLUMBUS 67-F,274,245
COLUMBUS 67-G,364,235
COLUMBUS 67-H,189,157
COLUMBUS 67-I,251,165
COLUMBUS 68-A,321,65
COLUMBUS 68-B,296,29
COLUMBUS 68-C,337,39
COLUMBUS 68-D,337,43
COLUMBUS 70-E,213,42
COLUMBUS 71-C,516,260
COLUMBUS 71-D,365,133
COLUMBUS 71-E,423,245
COLUMBUS 71-F,154,59
COLUMBUS 73-A,268,173
COLUMBUS 73-B,300,121
COLUMBUS 73-C,441,264
COLUMBUS 73-D,470,266
COLUMBUS 73-E,296,169
COLUMBUS 73-F,509,231
COLUMBUS 73-G,320,182
COLUMBUS 73-H,347,174
COLUMBUS 73-I,391,288
COLUMBUS 73-J,557,306
COLUMBUS 73-K,301,137
COLUMBUS 73-L,300,187
COLUMBUS 75-C,261,171
COLUMBUS 75-D,383,213
